qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
NC_022267_00057|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",400,94725,1,400,61217,62416,400,3,99.25,100.0,100.0,plus,0.0,769,mate-pair-formation
NC_019097_00056|MPF_I,"CP009566.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 22462 plasmid pCVM22462, complete sequence",818,94725,1,754,70586,72847,754,9,98.806,92.0,92.0,plus,0.0,1446,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
HM021326|MOBP,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",93,66390,1,93,36170,36262,93,0,100.0,100.0,100.0,plus,6.709999999999999e-46,172,oriT
MG764547|IncI-gamma/K1,"RSLE01000032.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.32, whole genome shotgun sequence",1032,19568,1,1032,2401,3432,1032,2,99.806,100.0,100.0,minus,0.0,1895,replicon
NC_019097|MOBP,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",899,66390,1,898,33107,35800,898,43,95.212,99.0,99.0,minus,0.0,1684,relaxase
NC_019097_00085|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",272,66390,1,272,4954,5769,272,1,99.632,100.0,100.0,plus,0.0,549,mate-pair-formation
NZ_CM001473_00069|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",116,66390,1,116,11645,11989,116,9,91.379,100.0,100.0,plus,2.1400000000000007e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",237,66390,1,216,11989,12636,216,4,98.148,91.0,91.0,plus,7.87e-147,445,mate-pair-formation
NC_019097_00075|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",327,66390,1,327,12692,13672,327,1,99.694,100.0,100.0,plus,0.0,656,mate-pair-formation
NC_015965_00072|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",234,66390,1,234,14967,15668,234,3,98.718,100.0,100.0,plus,8.250000000000001e-157,473,mate-pair-formation
NC_023290_00086|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",175,66390,1,175,15671,16195,175,1,99.429,100.0,100.0,plus,4.35e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",134,66390,1,134,16249,16650,134,3,97.761,100.0,100.0,plus,1.51e-56,181,mate-pair-formation
NC_022267_00057|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",400,66390,1,400,21404,22603,400,3,99.25,100.0,100.0,plus,0.0,769,mate-pair-formation
NC_019097_00056|MPF_I,"RSLE01000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA767383-1 isolate CFSAN019325 SAMN02918962-rid6543153.denovo.21, whole genome shotgun sequence",818,66390,1,754,30773,33034,754,9,98.806,92.0,92.0,plus,0.0,1446,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",93,75876,1,93,38916,39008,93,0,100.0,100.0,100.0,plus,1.08e-45,172,oriT
MG764547|IncI-gamma/K1,"AAAGZF010000039.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.39, whole genome shotgun sequence",1032,24001,1,1032,6063,7094,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",899,75876,1,898,35853,38546,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",272,75876,1,272,5467,6282,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",116,75876,1,116,12158,12502,116,9,91.379,100.0,100.0,plus,3.5e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",237,75876,1,216,12502,13149,216,2,99.074,91.0,91.0,plus,1.19e-147,448,mate-pair-formation
NC_019097_00075|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",327,75876,1,327,13205,14185,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",234,75876,1,234,15480,16181,234,1,99.573,100.0,100.0,plus,9.52e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",175,75876,1,175,16184,16708,175,1,99.429,100.0,100.0,plus,7.18e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",134,75876,1,126,16762,17139,126,5,96.032,94.0,94.0,plus,4.18e-50,164,mate-pair-formation
NC_022267_00057|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",400,75876,1,400,21917,23116,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"AAAGZF010000022.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N17S519 SAMN10132869-rid6656563.denovo.22, whole genome shotgun sequence",818,75876,1,754,33519,35780,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",93,96027,1,93,37539,37631,93,0,100.0,100.0,100.0,plus,7.529999999999999e-46,172,oriT
MG764547|IncI-gamma/K1,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",1032,96027,1,1032,78865,79896,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",899,96027,1,898,34476,37169,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",272,96027,1,272,6049,6864,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",116,96027,1,116,12740,13084,116,9,91.379,100.0,100.0,plus,2.41e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",237,96027,1,216,13084,13731,216,2,99.074,91.0,91.0,plus,8.199999999999999e-148,448,mate-pair-formation
NC_019097_00075|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",327,96027,1,327,13787,14767,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",234,96027,1,234,16062,16763,234,1,99.573,100.0,100.0,plus,6.55e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",175,96027,1,175,16766,17290,175,1,99.429,100.0,100.0,plus,4.93e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",134,96027,1,126,17344,17721,126,0,100.0,94.0,94.0,plus,3.53e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",400,96027,1,400,22499,23698,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"AAEXAJ010000012.1 Salmonella enterica subsp. enterica serovar Infantis strain FDA1080579 C001-009 SAMN10999769-rid7285213.denovo.012, whole genome shotgun sequence",818,96027,1,754,32142,34403,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
DQ916413|MOBP,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",81,34707,1,81,29839,29919,81,0,100.0,100.0,100.0,minus,3.33e-39,150,oriT
KT186369|IncI-gamma/K1,"AAGWPW010000023.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.023, whole genome shotgun sequence",1032,65337,1,1032,48174,49205,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",899,34707,1,898,26787,29480,898,45,94.989,99.0,99.0,minus,0.0,1680,relaxase
NZ_CM001473_00069|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",116,34707,1,116,3830,4174,116,9,91.379,100.0,100.0,plus,2.68e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",237,34707,1,216,4174,4821,216,2,99.074,91.0,91.0,plus,9.08e-148,448,mate-pair-formation
NC_019097_00075|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",327,34707,1,327,4877,5857,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",234,34707,1,234,7152,7853,234,1,99.573,100.0,100.0,plus,7.25e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",175,34707,1,175,7856,8380,175,1,99.429,100.0,100.0,plus,5.48e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",134,34707,1,126,8434,8811,126,0,100.0,94.0,94.0,plus,4.16e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",400,34707,1,400,13589,14788,400,7,98.25,100.0,100.0,plus,0.0,761,mate-pair-formation
NC_019097_00056|MPF_I,"AAGWPW010000048.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.048, whole genome shotgun sequence",818,34707,1,754,24453,26714,754,9,98.806,92.0,92.0,plus,0.0,1446,mate-pair-formation
NC_019097_00085|MPF_I,"AAGWPW010000080.1 Salmonella enterica strain CFSAN064115 SAMN07257823-rid5560833.denovo.080, whole genome shotgun sequence",272,9142,1,272,6293,7108,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",93,74346,1,93,30063,30155,93,0,100.0,100.0,100.0,plus,5.93e-46,172,oriT
NC_019097|MOBP,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",899,74346,1,898,27000,29693,898,52,94.209,99.0,99.0,minus,0.0,1662,relaxase
NC_019097_00075|MPF_I,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",327,74346,1,327,4352,5332,327,1,99.694,100.0,100.0,plus,0.0,657,mate-pair-formation
NC_015965_00072|MPF_I,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",234,74346,1,234,6627,7328,234,1,99.573,100.0,100.0,plus,5.15e-158,477,mate-pair-formation
NC_023290_00086|MPF_I,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",175,74346,1,175,7331,7855,175,1,99.429,100.0,100.0,plus,3.88e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",134,74346,1,126,7909,8286,126,0,100.0,94.0,94.0,plus,2.78e-52,169,mate-pair-formation
NC_022267_00057|MPF_I,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",400,74346,1,400,13064,14263,400,8,98.0,100.0,100.0,plus,0.0,759,mate-pair-formation
NC_019097_00056|MPF_I,"AAHPYY010000021.1 Salmonella enterica subsp. enterica serovar Anatum strain FDA759190-3 isolate CFSAN019296 SAMN02918933-rid6651843.denovo.21, whole genome shotgun sequence",818,74346,1,754,24666,26927,754,9,98.806,92.0,92.0,plus,0.0,1443,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
HM021326|MOBP,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",93,40943,1,93,36140,36232,93,0,100.0,100.0,100.0,plus,7.059999999999999e-46,172,oriT
MF344576|IncI-gamma/K1,"AAIMOV010000037.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.37, whole genome shotgun sequence",1032,53951,1,1032,30748,31779,1032,5,99.516,100.0,100.0,minus,0.0,1879,replicon
NC_019097|MOBP,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",899,40943,1,898,33077,35770,898,43,95.212,99.0,99.0,minus,0.0,1684,relaxase
NC_019097_00085|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",272,40943,1,272,4924,5739,272,1,99.632,100.0,100.0,plus,0.0,549,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",116,40943,1,116,11615,11959,116,9,91.379,100.0,100.0,plus,2.25e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",237,40943,1,216,11959,12606,216,3,98.611,91.0,91.0,plus,2.3e-147,447,mate-pair-formation
NC_019097_00075|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",327,40943,1,327,12662,13642,327,0,100.0,100.0,100.0,plus,0.0,658,mate-pair-formation
NC_015965_00072|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",234,40943,1,234,14937,15638,234,3,98.718,100.0,100.0,plus,8.640000000000001e-157,473,mate-pair-formation
NC_023290_00086|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",175,40943,1,175,15641,16165,175,1,99.429,100.0,100.0,plus,4.56e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",134,40943,1,134,16219,16620,134,3,97.761,100.0,100.0,plus,1.58e-56,181,mate-pair-formation
NC_022267_00057|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",400,40943,1,400,21374,22573,400,3,99.25,100.0,100.0,plus,0.0,769,mate-pair-formation
NC_019097_00056|MPF_I,"AAIMOV010000046.1 Salmonella enterica strain FDA1038721-S001-005 SAMN08557788-rid5892903.denovo.46, whole genome shotgun sequence",818,40943,1,754,30743,33004,754,9,98.806,92.0,92.0,plus,0.0,1446,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",93,92559,1,93,37464,37556,93,0,100.0,100.0,100.0,plus,7.93e-46,172,oriT
KJ484639|IncI-gamma/K1,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",1032,92559,1,1032,75289,76320,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
CP042618_00163|rep_cluster_2371,"AAIOIT010000049.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.guided.34, whole genome shotgun sequence",441,17780,1,441,167,606,441,12,97.052,100.0,100.0,minus,0.0,741,replicon
NC_019097|MOBP,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",899,92559,1,898,34401,37094,898,50,94.432,99.0,99.0,minus,0.0,1671,relaxase
NC_019097_00085|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",272,92559,1,272,6298,7113,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
NZ_CM001473_00069|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",116,92559,1,116,12989,13333,116,9,91.379,100.0,100.0,plus,2.53e-59,189,mate-pair-formation
NC_022267_00069|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",237,92559,1,216,13333,13980,216,3,98.611,91.0,91.0,plus,2.6e-147,447,mate-pair-formation
NC_019097_00075|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",327,92559,1,327,14036,15016,327,0,100.0,100.0,100.0,plus,0.0,658,mate-pair-formation
NC_015965_00072|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",234,92559,1,234,16311,17012,234,3,98.718,100.0,100.0,plus,9.76e-157,473,mate-pair-formation
NC_023290_00086|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",175,92559,1,175,17015,17539,175,1,99.429,100.0,100.0,plus,5.14e-105,322,mate-pair-formation
NC_019111_00038|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",134,92559,1,134,17593,17994,134,3,97.761,100.0,100.0,plus,1.7800000000000004e-56,181,mate-pair-formation
NC_022267_00057|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",400,92559,1,400,22748,23947,400,3,99.25,100.0,100.0,plus,0.0,769,mate-pair-formation
NC_019097_00056|MPF_I,"AAIOIT010000016.1 Salmonella enterica strain FDA1043965-S001-001 SAMN08930628-rid5976283.denovo.16, whole genome shotgun sequence",818,92559,1,754,32067,34328,754,10,98.674,92.0,92.0,plus,0.0,1445,mate-pair-formation
qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,length,mismatch,pident,qcovhsp,qcovs,sstrand,evalue,bitscore,biomarker
JN253636|MOBP,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",93,102421,1,93,45382,45474,93,0,100.0,100.0,100.0,plus,7.36e-46,172,oriT
MG764547|IncI-gamma/K1,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",1032,102421,1,1032,91115,92146,1032,0,100.0,100.0,100.0,minus,0.0,1906,replicon
NC_019097|MOBP,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",899,102421,1,898,42319,45012,898,50,94.432,99.0,99.0,minus,0.0,1668,relaxase
NC_019097_00085|MPF_I,"CP082560.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CVM N18S1595 plasmid pN18S1595-1, complete sequence",272,102421,1,272,11932,12747,272,0,100.0,100.0,100.0,plus,0.0,550,mate-pair-formation
